filename,width,height,class,xmin,ymin,xmax,ymax,source
IMG_20210212_042855.jpg,500,236,mangue,97,157,202,235,none
IMG_2638.jpg,375,500,beurre,87,370,149,447,none
orange.jpg,500,667,orange,25,275,143,381,none
IMG_2638.jpg,375,500,beurre,173,213,217,271,none
orange.jpg,500,667,orange,346,382,456,471,none
orange.jpg,500,667,orange,26,386,138,485,none
orange.jpg,500,667,orange,336,280,454,372,none
orange.jpg,500,667,orange,347,468,437,569,none
IMG_20210212_042855.jpg,500,236,mangue,274,143,376,231,none
orange.jpg,500,667,orange,206,52,303,163,none
orange.jpg,500,667,orange,279,235,370,330,none
IMG_20210212_042855.jpg,500,236,mangue,126,95,227,167,none
orange.jpg,500,667,orange,120,534,221,612,none
orange.jpg,500,667,orange,196,269,301,381,none
orange.jpg,500,667,orange,128,122,236,214,none
orange.jpg,500,667,orange,45,25,157,142,none
IMG_2638.jpg,375,500,beurre,106,301,149,367,none
orange.jpg,500,667,orange,350,183,454,273,none
orange.jpg,500,667,orange,284,336,371,423,none
IMG_2638.jpg,375,500,beurre,213,167,251,223,none
orange.jpg,500,667,orange,14,492,144,601,none
IMG_20210212_042855.jpg,500,236,mangue,90,21,190,107,none
IMG_20210212_042855.jpg,500,236,mangue,272,3,376,94,none
orange.jpg,500,667,orange,212,183,304,274,none
orange.jpg,500,667,orange,199,483,297,577,none
